epoch,EpisodesSoFar,EpLenMean,avg_reward,num_opts_used
1,4,500.0,0.0,2.0
2,8,500.0,0.0,2.0
3,12,500.0,0.0,2.0
4,16,500.0,0.0,2.0
5,20,500.0,0.0,2.0
6,24,500.0,0.0,2.0
7,28,500.0,0.0,2.0
8,32,500.0,0.0,2.0
9,36,500.0,0.0,2.0
10,40,500.0,0.0,2.0
11,45,500.0,0.0,2.0
12,49,500.0,0.0,2.0
13,53,500.0,0.0,2.0
14,57,500.0,0.0,2.0
15,61,500.0,0.0,2.0
16,65,500.0,0.0,2.0
17,69,500.0,0.0,2.0
18,73,500.0,0.0,2.0
19,77,500.0,0.0,2.0
20,81,500.0,0.0,2.0
21,86,500.0,0.0,2.0
22,90,500.0,0.0,2.0
23,94,481.6,0.1,2.0
24,99,447.4,0.2,2.0
25,103,465.8,0.1,2.0
26,107,465.8,0.1,2.0
27,111,500.0,0.0,2.0
28,115,500.0,0.0,2.0
29,119,500.0,0.0,2.0
30,123,500.0,0.0,2.0
31,128,500.0,0.0,2.0
32,132,500.0,0.0,2.0
33,136,466.9,0.1,2.0
34,140,466.9,0.1,2.0
35,145,474.8,0.1,2.0
36,149,474.8,0.1,2.0
37,154,432.8,0.2,2.0
38,160,393.1,0.3,2.0
39,164,409.0,0.3,2.0
40,172,273.5,0.6,2.0
41,176,336.8,0.5,2.0
42,189,179.0,0.8,2.0
43,208,96.4,1.0,2.0
44,241,56.7,1.0,2.0
45,275,57.3,1.0,2.0
46,290,137.2,0.8,2.0
47,310,85.8,1.0,2.0
48,341,50.1,1.0,2.0
49,374,45.3,1.0,2.0
50,408,55.8,1.0,2.0
51,440,95.9,0.9,2.0
52,475,68.3,1.0,2.0
53,516,49.4,1.0,2.0
54,552,52.3,1.0,2.0
55,599,37.6,1.0,2.0
56,644,66.9,1.0,2.0
57,686,41.9,1.0,2.0
58,732,45.3,1.0,2.0
59,782,42.2,1.0,2.0
60,821,40.8,1.0,2.0
61,872,40.5,1.0,2.0
62,919,40.7,1.0,2.0
63,970,39.2,1.0,2.0
64,1018,41.8,1.0,2.0
65,1071,38.0,1.0,2.0
66,1125,38.3,1.0,2.0
67,1179,37.3,1.0,2.0
68,1233,40.0,1.0,2.0
69,1280,35.9,1.0,2.0
70,1330,37.7,1.0,2.0
71,1384,37.4,1.0,2.0
72,1437,36.8,1.0,2.0
73,1491,39.3,1.0,2.0
74,1545,37.4,1.0,2.0
75,1601,36.0,1.0,2.0
76,1657,36.0,1.0,2.0
77,1713,36.4,1.0,2.0
